aba,age_vehicule,agepr,nb_autre_carbu,cataeu,cs42pr,nb_diesel,dip14pr,nb_essence,etat_veh_achat,ident_men,km_autre_carbu,km_diesel,km_essence,mloy_d,nactifs,nbphab,nenfants,npers,ocde10,pondmen,poste_07_2_2_1,prix_achat,rev_disponible,revtot,situapr,stalog,tau,tuu,typmen,veh_tot,vp_deplacements_pro,vp_domicile_travail,rural,petite_ville,moyenne_ville,grande_ville,paris,niveau_vie,niveau_vie_decile,niveau_vie_quintile,donation_class_3,distance,distance_autre_carbu,distance_diesel,distance_essence,age_vehicule.1,depenses_carburants_corrigees_emp,depenses_diesel_corrigees_emp,depenses_essence_corrigees_emp
0,0,27,0,111,55,0,71,0,0,10567,0,0,0,0,1,4,2,3,1.6,1720.967989,0.0,0,14348.0,14348.0,4,3,8,7,2,0,0,0,0,0,0,1,0,8967.5,1,1,1_0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
2,22,44,0,120,56,2,71,0,0,10577,0,0,0,0,1,4,3,6,2.9,3580.8158259,800.28,0,22195.0,22520.0,4,1,0,0,5,2,0,0,1,0,0,0,0,7653.44827586207,1,1,1_1,70000.0,0.0,50000.0,20000.0,11,5493.972469724008,3924.266049802863,1569.7064199211452
0,0,35,0,300,64,0,44,0,0,1058,0,0,0,0,1,2,0,1,1.0,3433.4825231,0.0,0,8468.55,8490.0,4,3,0,0,1,0,0,0,1,0,0,0,0,8468.55,1,1,1_1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0,35,0,111,63,0,71,0,0,10599,0,0,0,200,1,3,3,5,2.4,3227.7835575,0.0,0,17710.55,17901.0,4,3,9,7,4,0,0,0,0,0,0,1,0,7379.39583333333,1,1,1_0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,5,44,0,111,62,1,50,0,0,106,0,10,0,0,2,4,4,6,2.9,2711.8576828,3148.6,0,19335.45,19470.0,1,3,10,8,4,1,0,1,0,0,0,0,1,6667.39655172414,1,1,1_0,19283.7308,0.0,19283.7308,0.0,13,1659.5384011998997,1659.5384011998997,0.0
0,12,45,0,111,67,1,71,0,0,1061,0,80,0,0,1,2,0,1,1.0,2806.1607873,0.0,0,10163.35,10320.0,4,3,8,7,1,1,0,1,0,0,0,1,0,10163.35,1,1,1_0,20643.185079,0.0,20643.185079,0.0,10,1776.5316637627654,1776.5316637627654,0.0
0,4,24,0,111,52,1,50,0,0,10633,0,465,0,0,1,1,0,1,1.0,3996.578342,1948.96,0,2314.05,2498.0,4,3,7,5,1,1,0,1,0,0,1,0,0,2314.05,1,1,1_0,12422.502059,0.0,12422.502059,0.0,6,1069.067983768749,1069.067983768749,0.0
0,0,30,0,111,63,0,71,0,0,10639,0,0,0,0,1,1,0,1,1.0,6455.3405401,0.0,0,0.0,0.0,4,3,8,6,1,0,0,0,0,0,1,0,0,0.0,1,1,1_0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0,20,0,111,84,0,41,0,0,10640,0,0,0,203,0,1,0,1,1.0,3262.4387122,0.0,0,9344.0,9344.0,3,3,9,7,1,0,0,0,0,0,0,1,0,9344.0,1,1,1_0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
2,1,44,0,112,54,1,43,1,1,10661,0,250,0,0,1,4,2,4,2.5,3520.4146902,3120.0,18900,24351.55,24618.0,1,1,9,0,4,2,0,1,1,0,0,0,0,9740.62,1,1,1_1,25194.7550852,0.0,17329.604641,7865.1504442,11,1977.4184402789679,1360.1195829836488,617.2988572953193
2,13,47,0,112,54,0,43,1,0,10682,0,0,70,0,1,5,3,4,2.5,1802.1891181,0.0,0,15374.3,15971.0,4,1,9,1,2,1,0,1,0,1,0,0,0,6149.72,1,1,1_0,12423.788284,0.0,0.0,12423.788284,14,1069.1786749935031,0.0,1069.1786749935031
