age_vehicule,agepr,nb_autre_carbu,consommation,cs42pr,decile_rev,nb_diesel,dip14pr,distance_autre_carbu,distance_diesel,distance_essence,nb_essence,ident_men,nactifs,nenfants,niveau_vie_decile,npers,ocde10,pondmen,puissance,situapr,tuu,typmen,veh_tot,rural,petite_ville,moyenne_ville,grande_ville,paris,distance,niveau_vie_quintile,donation_class_3
0.0,50,0,0.0,81.0,1,0,71.0,0.0,0.0,0.0,0,1100000746000,1,0,1,1,1.0,3161.7704123,0.0,4.0,4,1,0,0,0,1,0,0,0.0,1.0,1_0
21.0,70,0,4.5,72.0,10,0,22.0,0.0,0.0,16290.247334399999,2,1100000747000,0,1,10,3,2.0,1362.6858618,5.0,5.0,8,4,2,0,0,0,0,1,16290.247334399999,5.0,10_0
6.0,24,0,9999.0,38.0,6,1,14.0,0.0,13558.959103,0.0,0,1100000753000,1,0,9,1,1.0,6093.1320593,5.0,1.0,8,1,1,0,0,0,0,1,13558.959103,5.0,9_0
19.0,52,0,7.0,53.0,2,0,53.0,0.0,0.0,5101.5847734,1,1100000754000,1,0,4,1,1.0,2002.2834335,7.0,1.0,3,1,1,0,1,0,0,0,5101.5847734,2.0,4_0
5.0,55,0,3.9,45.0,8,0,52.0,0.0,0.0,13565.012925,1,1100000755000,2,0,9,2,1.5,1253.7494121,4.0,1.0,3,3,1,0,1,0,0,0,13565.012925,5.0,9_0
1.0,52,1,9999.0,38.0,10,2,14.0,4846.2181938,30065.146138000004,0.0,0,1100000765000,2,4,8,6,3.1,2302.8022689,5.0,1.0,8,4,3,0,0,0,0,1,34911.3643318,4.0,8_0
24.0,59,0,5.0,52.0,9,1,71.0,0.0,6701.4277038,11897.795384,1,1100000815000,2,1,7,3,2.0,711.87510138,4.0,1.0,8,4,3,0,0,0,0,1,18599.223087799997,4.0,7_0
0.0,57,0,0.0,63.0,1,0,45.0,0.0,0.0,0.0,0,1100000823000,1,0,1,1,1.0,2370.5786974,0.0,1.0,8,1,0,0,0,0,0,1,0.0,1.0,1_0
14.0,73,0,9999.0,74.0,8,0,21.0,0.0,0.0,8080.6387363,1,1100000824000,0,0,10,1,1.0,2641.3003625,5.0,5.0,8,1,1,0,0,0,0,1,8080.6387363,5.0,10_0
0.0,60,0,0.0,37.0,10,0,32.0,0.0,0.0,0.0,0,1100000833000,2,1,9,3,2.0,1965.4200018,0.0,1.0,8,4,0,0,0,0,0,1,0.0,5.0,9_0
