"aba","age_vehicule","agepr","nb_autre_carbu","cataeu","cs42pr","nb_diesel","dip14pr","nb_essence","etat_veh_achat","ident_men","km_autre_carbu","km_diesel","km_essence","mloy_d","nactifs","nbphab","nenfants","npers","ocde10","pondmen","poste_07_2_2_1","prix_achat","rev_disponible","revtot","situapr","stalog","tau","tuu","typmen","veh_tot","vp_deplacements_pro","vp_domicile_travail","rural","petite_ville","moyenne_ville","grande_ville","paris","niveau_vie","niveau_vie_decile","niveau_vie_quintile","donation_class_3","distance","distance_autre_carbu","distance_diesel","distance_essence"
2,1,63,0,111,74,1,31,1,0,11995,0,0,0,0,0,5,0,2,1.5,2519.6069893,4953.52,0,71201.92335456,91717,5,1,10,8,3,2,0,0,0,0,0,0,1,47467.94890304,10,5,"10_0",40607.1278276,0,31692.378815,8914.7490126
2,0,51,0,111,33,0,20,0,0,12021,0,0,0,0,1,2,0,1,1,2610.9512821,0,0,39421.2,45060,1,1,10,8,1,0,0,0,0,0,0,0,1,39421.2,10,5,"10_0",15619.454947,0,0,15619.454947
2,12,62,0,111,31,0,20,1,0,12050,0,0,0,0,1,4,0,1,1,1720.7403584,0,0,48720.45,61310,1,1,9,7,1,1,0,0,0,0,0,1,0,48720.45,10,5,"10_0",15619.454947,0,0,15619.454947
2,3,61,0,221,75,2,50,0,0,12067,0,490,0,0,1,5,0,2,1.5,2446.9303836,3530.28,0,53889.326766384,57584,5,1,1,1,3,2,0,0,0,1,0,0,0,35926.217844256,10,5,"10_0",33526.893375,0,24526.893375,9000
2,14,62,0,211,37,1,30,0,0,12074,0,0,0,0,1,4,1,3,1.8,1098.2084683,0,0,104142.5,133530,1,4,4,4,4,1,0,0,0,0,1,0,0,57856.9444444444,10,5,"10_0",15619.454947,0,0,15619.454947
0,12,36,0,111,34,0,20,1,0,1210,0,0,0,340,1,2,0,1,1,3481.9114151,0,0,42082.05,50197,1,3,8,7,1,1,0,0,0,0,0,1,0,42082.05,10,5,"10_0",15619.454947,0,0,15619.454947
2,13,62,0,111,74,0,31,3,0,1215,0,0,0,0,1,4,0,2,1.5,1724.4851029,3388.84,0,54592.176766384,77120,5,1,9,7,3,3,0,0,0,0,0,1,0,36394.7845109227,10,5,"10_0",31314.669079,0,21314.669079,10000
0,5,81,0,111,74,1,41,0,0,12177,0,0,0,635,0,4,0,2,1.5,1697.5013283,0,0,54644.25,62038,5,3,8,7,3,1,0,0,0,0,0,1,0,36429.5,10,5,"10_0",15619.454947,0,0,15619.454947
2,10,56,0,111,38,0,10,1,0,12196,0,0,45,0,1,3,1,2,1.5,3015.9528838,2858.96,0,103658.55,130797,1,1,10,8,2,1,1,1,0,0,0,0,1,69105.7,10,5,"10_0",26172.8504779,0,7319.9090909,18852.941387
2,19,72,0,120,74,1,31,1,0,12200,0,0,0,0,0,8,0,2,1.5,1251.2397911,2971.8,0,66557.1,71319,5,1,0,1,3,2,0,0,0,1,0,0,0,44371.4,10,5,"10_0",26780.1947542,0,8575.9747212,18204.220033
0,5,28,0,111,34,0,41,1,2,12245,0,0,0,900,2,2,0,2,1.5,4582.9031467,0,1000,59888.85,68414,1,3,10,8,3,1,1,0,0,0,0,0,1,39925.9,10,5,"10_0",15619.454947,0,0,15619.454947
0,11,61,0,111,37,1,31,1,0,12249,0,0,70,0,2,5,1,3,2,1560.9289112,0,0,115828.65,131179,1,4,5,4,4,2,0,0,0,0,1,0,0,57914.325,10,5,"10_0",15619.454947,0,0,15619.454947
2,7,41,0,111,35,1,41,0,0,1229,0,300,0,0,1,4,2,4,2.1,3093.942668,2472.6,0,101973.45,110470,1,1,9,7,4,1,1,1,0,0,0,1,0,48558.7857142857,10,5,"10_0",23000,3000,20000,0
