,ident,pondmen,agepr,cataeu,cs42pr,ppa,ocde10,nactifs,nactoccup,npers,nivviem,prest_precarite_hand,prest_precarite_rsa,prest_precarite_vieil,retraites,rev_etranger,rev_valeurs_mobilieres_bruts,revdecm,rev_disponible,salaires,,stalog,tau,mhab_d,tuu,typmen,donation_class_1
117,17000120,619.2904475,73,221,74.0,0,1.5,0,0,2,25180.666667,0,0,0,40680,0,0,41960,37770,0,1,2.0,1,860,3,3,0
118,17000121,343.01105241,81,111,74.0,0,1.0,0,0,1,38378.0,0,0,0,26990,0,0,27830,38380,0,2,,7,670,5,1,0
119,17000122,260.71654726,47,120,46.0,0,2.5,2,2,4,26779.6,0,0,0,0,0,620,60450,66950,57750,1,,0,650,0,4,2
120,17000124,433.97337166,54,221,43.0,0,2.0,2,2,3,22474.5,0,0,0,0,0,630,49580,44950,47250,1,,1,830,1,4,2
121,17000125,393.88063396,86,120,71.0,0,1.0,0,0,1,19269.0,0,0,0,15210,0,710,16040,19270,0,1,,0,430,0,1,0
122,17000126,642.89178842,71,112,75.0,0,1.5,0,0,2,23683.333333,0,0,0,36890,0,60,39280,35530,0,1,,8,1280,1,3,0
123,17000127,722.58421729,59,111,55.0,1760,1.0,1,1,1,17164.0,0,0,0,0,0,0,16440,17160,15870,2,,8,470,7,1,1
124,17000128,1442.2772774,34,120,38.0,0,1.8,2,2,3,32951.111111,0,0,0,0,0,0,64150,59310,61920,1,4.0,0,830,3,4,2
125,17000129,761.32300178,30,111,47.0,0,1.0,1,1,1,20100.0,0,0,0,0,0,0,21430,20100,20690,1,,7,450,5,1,1
126,17000130,357.18183773,71,120,75.0,0,1.5,0,0,2,25480.0,0,0,0,40400,0,0,41660,38220,0,1,,0,780,2,3,0
127,17000131,543.0986683,43,300,62.0,0,2.1,2,2,4,16494.761905,0,0,0,0,0,0,34180,34640,32990,1,,0,690,0,4,2
128,17000132,616.47020239,18,111,84.0,0,1.0,0,0,1,699.0,0,0,0,0,0,0,0,700,0,1,4.0,8,0,7,1,0
129,17000133,670.22383533,54,111,42.0,0,1.0,1,1,1,60101.0,0,0,0,0,0,510,61170,60100,54060,1,,9,640,7,1,1
