,age_vehicule,depenses_carburants_corrigees_emp,depenses_diesel_corrigees_emp,depenses_essence_corrigees_emp,distance_diesel,distance_essence,distance,ident_men,vp_deplacements_pro,vp_domicile_travail,aides_logement,bat_49_74,bat_ap_74,bat_av_49,froid_cout,froid_impaye,froid_installation,froid_isolation,froid,isolation_fenetres,isolation_murs,isolation_toit,log_indiv,majorite_double_vitrage,ouest_sud,paris,petite_ville,rural,revdecm
1849,4,2164.301059618865,2164.301059618865,0.0,25124.260239,0.0,25124.260239,2325,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,31810
1850,7,2520.0772892565465,2520.0772892565465,0.0,28461.857427,0.0,28461.857427,233,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,26860
1851,0,0.0,0.0,0.0,0.0,0.0,0.0,2357,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,23260
1852,0,0.0,0.0,0.0,0.0,0.0,0.0,2370,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,1.0,2.0,1.0,0.0,1.0,0.0,1440
1853,15,510.24867242758353,0.0,510.24867242758353,0.0,5923.2149685,5923.2149685,2377,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0
1854,0,0.0,0.0,0.0,0.0,0.0,0.0,2391,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,12840
1855,11,1517.024425292151,0.0,1517.024425292151,0.0,17133.336779,17133.336779,2406,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,4.0,1.0,2.0,0.0,0.0,0.0,1.0,12640
1856,14,2759.6861160708117,2759.6861160708117,0.0,31168.009455,0.0,31168.009455,2417,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,1.0,1.0,0.0,0.0,0.0,1.0,30010
1857,8,510.399582949529,507.8397080699162,2.559874879612765,5895.2505376,29.716273699,5924.966811299,249,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,1.0,1.0,0.0,0.0,1.0,0.0,9460
1858,8,185.80483105475628,185.80483105475628,0.0,2156.912925,0.0,2156.912925,25,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,19830
1859,0,0.0,0.0,0.0,0.0,0.0,0.0,2508,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,20960
1860,0,0.0,0.0,0.0,0.0,0.0,0.0,2510,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0
1861,0,0.0,0.0,0.0,0.0,0.0,0.0,252,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,12510
1862,2,0.0,0.0,0.0,0.0,0.0,0.0,2540,1,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,4250
1863,17,1539.7560007095503,1539.7560007095503,0.0,17874.237179,0.0,17874.237179,2553,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,41700
1864,12,500.5152649181281,0.0,500.5152649181281,0.0,5810.2248361,5810.2248361,2566,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0
1865,0,0.0,0.0,0.0,0.0,0.0,0.0,2588,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,16690
1866,0,0.0,0.0,0.0,0.0,0.0,0.0,26,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,11980
1867,12,1128.4259875745986,1128.4259875745986,0.0,12744.489906,0.0,12744.489906,2602,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,4.0,1.0,2.0,0.0,0.0,0.0,1.0,6000
1868,16,2221.3466863691497,2221.3466863691497,0.0,25786.473643,0.0,25786.473643,2610,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,41490
1869,0,0.0,0.0,0.0,0.0,0.0,0.0,262,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,27990
1870,8,1001.8890592026316,1001.8890592026316,0.0,11630.415899,0.0,11630.415899,2629,1,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,16250
1871,10,840.482567101288,840.482567101288,0.0,9756.7307692,0.0,9756.7307692,2643,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,16790
1872,8,1912.263016772279,1912.263016772279,0.0,21597.177824,0.0,21597.177824,2657,0,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,4.0,1.0,2.0,0.0,0.0,0.0,1.0,13610
1873,0,0.0,0.0,0.0,0.0,0.0,0.0,2661,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,7430
1874,3,1842.6397218085376,1842.6397218085376,0.0,20810.849443,0.0,20810.849443,2662,0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,5.0,1.0,1.0,1.0,0.0,0.0,1.0,35850
1875,14,258.4316161786034,258.4316161786034,0.0,3000.0,0.0,3000.0,2668,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,9560
1876,12,2370.259991645564,2370.259991645564,0.0,27515.1317787,0.0,27515.1317787,2676,1,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,36760
1877,11,775.2948485358103,0.0,775.2948485358103,0.0,9000.0,9000.0,2689,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,8410
1878,0,0.0,0.0,0.0,0.0,0.0,0.0,269,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,13190
1879,0,0.0,0.0,0.0,0.0,0.0,0.0,2700,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,27280
1880,0,0.0,0.0,0.0,0.0,0.0,0.0,2735,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0
1881,3,775.2948485358103,775.2948485358103,0.0,9000.0,0.0,9000.0,2737,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,19440
1882,17,1131.085628350267,0.0,1131.085628350267,0.0,13130.192564,13130.192564,2745,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,21660
1883,15,659.2091290175464,659.2091290175464,0.0,7652.4204596,0.0,7652.4204596,2755,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,18370
1884,9,861.4387205953448,861.4387205953448,0.0,10000.0,0.0,10000.0,2760,0,0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,25290
1885,20,7229.011659383172,7229.011659383172,0.0,83917.886282,0.0,83917.886282,2764,0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,2.0,1.0,0.0,1.0,0.0,0
1886,10,1004.843274583954,1004.843274583954,0.0,11664.7098692,0.0,11664.7098692,2776,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,34510
1887,17,1916.518598824635,1916.518598824635,0.0,22247.8808185,0.0,22247.8808185,2779,0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,38420
1888,0,0.0,0.0,0.0,0.0,0.0,0.0,2800,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1100
1889,10,1912.263016772279,1912.263016772279,0.0,21597.177824,0.0,21597.177824,2829,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,14580
1890,17,407.5433454911224,0.0,407.5433454911224,0.0,4730.9615385,4730.9615385,2834,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,33590
1891,17,510.24867242758353,0.0,510.24867242758353,0.0,5923.2149685,5923.2149685,2864,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,20790
1892,15,481.1595100248312,481.1595100248312,0.0,5585.5338113,0.0,5585.5338113,2878,0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,24750
1893,2,1726.435960382906,1726.435960382906,0.0,20041.309023,0.0,20041.309023,290,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,23450
1894,11,760.6732061707409,0.0,760.6732061707409,0.0,8830.2648579,8830.2648579,2912,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,12700
1895,5,1236.126549194299,1236.126549194299,0.0,14349.558705,0.0,14349.558705,2928,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,18700
1896,4,1817.0024583171132,1817.0024583171132,0.0,21092.649017,0.0,21092.649017,2930,1,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,39460
1897,16,518.5855181536698,518.5855181536698,0.0,6019.9931319,0.0,6019.9931319,2940,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,20260
1898,6,1703.05018343268,1703.05018343268,0.0,19234.319407,0.0,19234.319407,2951,0,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,3.0,3.0,1.0,1.0,1.0,0.0,0.0,1.0,22010
1899,15,912.3259851616956,912.3259851616956,0.0,10590.724138,0.0,10590.724138,2954,0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,16030
1900,4,861.4387205953448,0.0,861.4387205953448,0.0,10000.0,10000.0,2955,1,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,3200
1901,0,0.0,0.0,0.0,0.0,0.0,0.0,2960,0,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,12250
1902,15,1049.7539383655908,1049.7539383655908,0.0,12186.054716,0.0,12186.054716,2980,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,17510
1903,0,0.0,0.0,0.0,0.0,0.0,0.0,2997,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,0.0,2.0,1.0,0.0,0.0,1.0,13730
1904,15,1539.7560007095503,1539.7560007095503,0.0,17874.237179,0.0,17874.237179,3,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,36610
1905,0,0.0,0.0,0.0,0.0,0.0,0.0,3006,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,10470
1906,16,1131.085628350267,0.0,1131.085628350267,0.0,13130.192564,13130.192564,301,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,13150
1907,4,1100.0684523981397,1100.0684523981397,0.0,12770.130087,0.0,12770.130087,3023,0,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,5.0,1.0,1.0,1.0,0.0,0.0,0.0,35960
1908,0,0.0,0.0,0.0,0.0,0.0,0.0,3042,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,12920
1909,13,1361.8909176809584,1361.8909176809584,0.0,15809.492714,0.0,15809.492714,305,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,51140
1910,10,828.6183728003838,430.7193602976724,397.89901250271146,5000.0,4619.0054265,9619.0054265,3058,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,28780
1911,0,0.0,0.0,0.0,0.0,0.0,0.0,3065,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,16780
1912,20,3855.695538566555,0.0,3855.695538566555,0.0,44758.790688,44758.790688,3080,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,13350
1913,18,50.394897184777896,0.0,50.394897184777896,0.0,585.00849776,585.00849776,3084,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,6210
1914,20,1661.6420510113965,1661.6420510113965,0.0,18766.654242,0.0,18766.654242,312,0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,1.0,2.0,0.0,0.0,0.0,1.0,21010
1915,8,3177.512241117743,3177.512241117743,0.0,36886.108845,0.0,36886.108845,314,1,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0
1916,9,660.9326117773588,660.9326117773588,0.0,7464.6003301,0.0,7464.6003301,3147,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,42110
1917,5,2544.8489215903137,2544.8489215903137,0.0,28741.62927,0.0,28741.62927,3161,0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,1.0,34380
1918,15,1778.9367429374436,1778.9367429374436,0.0,20091.3853575,0.0,20091.3853575,3168,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,15650
