,age_vehicule,depenses_carburants_corrigees_entd,depenses_diesel_corrigees_entd,depenses_essence_corrigees_entd,distance_diesel,distance_essence,distance,ident_men,vp_deplacements_pro,vp_domicile_travail,aides_logement,bat_49_74,bat_ap_74,bat_av_49,froid_cout,froid_impaye,froid_installation,froid_isolation,froid,isolation_fenetres,isolation_murs,isolation_toit,log_indiv,majorite_double_vitrage,ouest_sud,paris,petite_ville,rural,revdecm
9726,3,2345.0028286665465,2345.0028286665465,0.0,25000.0,0.0,25000.0,1663,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,43640
9727,18,2897.733117099871,2897.733117099871,0.0,35798.394155,0.0,35798.394155,167,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,59740
9728,9,1595.0412458532658,0.0,526.3465965482073,0.0,5611.3641966,17004.6836016,1685,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,87170
9729,4,2298.161109197585,2298.161109197585,0.0,24500.62193,0.0,24500.62193,1710,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,37790
9730,11,3588.309649461249,1985.890754527153,1602.4188949340964,21171.517687,17083.336482,38254.854169,1712,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,107200
9731,0,0.0,0.0,0.0,0.0,0.0,0.0,1786,0,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,37180
9732,2,2249.779516856452,1357.122805182659,892.6567116737924,16765.801105,11027.819167,27793.620272,1790,0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,2.0,0.0,0.0,0.0,1.0,164550
9733,6,1110.1619330504911,1110.1619330504911,0.0,11835.400788,0.0,11835.400788,1794,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,106520
9734,6,5193.390886945484,4690.005657333093,503.3852296123911,50000.0,5366.5737996,55366.5737996,1820,0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,57130
9735,1,1032.4715386272246,0.0,1032.4715386272246,0.0,11007.145983,11007.145983,1827,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,248450
9736,19,1518.3729654491674,1067.6911427707755,450.6818226783917,11382.621054,4804.7044674,16187.3255214,185,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,48210
9737,7,2197.995595975081,1719.3050262683355,478.6905697067451,18329.455782,5103.3048218,23432.7606038,1861,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,111930
9738,13,5112.403744069026,4570.68003353241,541.7237105366163,48727.873349,5775.299116,54503.172465,1893,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,84750
9739,2,3994.886005488973,3994.886005488973,0.0,42589.35167,0.0,42589.35167,1902,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,212060
9740,10,3413.607554710935,1980.0170722038065,1433.5904825071284,21108.898548,15283.462188,36392.360736,1915,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,92070
9741,2,2714.0860471236624,1682.7258879748426,1031.36015914882,17939.486761,10995.297602,28934.784363,1917,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,71940
9742,0,0.0,0.0,0.0,0.0,0.0,0.0,1920,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,30240
9743,6,1463.3277179689458,1463.3277179689458,0.0,18077.849239,0.0,18077.849239,1941,0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,52440
9744,3,1146.233643967298,111.8229583417718,1034.4106856255264,1192.140975,11027.819167,12219.960142,1944,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,110000
9745,15,1041.0968358261148,0.0,1041.0968358261148,0.0,11099.1,11099.1,1962,0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,83070
9746,0,0.0,0.0,0.0,0.0,0.0,0.0,1977,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,101230
9747,18,2132.4048580839603,2132.4048580839603,0.0,22733.4998493,0.0,22733.4998493,1997,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,109850
9748,2,1990.7823252669295,1990.7823252669295,0.0,24593.9869121,0.0,24593.9869121,2002,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,116600
9749,8,365.19510718121023,365.19510718121023,0.0,3893.3333333,0.0,3893.3333333,2015,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,118910
9750,5,3804.457147267642,2994.9981797638884,0.0,37000.0,0.0,47000.0,2022,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,63170
9751,2,4856.777562564654,3338.441821849849,1518.3357407148048,35591.021267,16186.9286697,51777.9499367,2027,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,121400
9752,4,2518.4146527457133,2518.4146527457133,0.0,31112.320128,0.0,31112.320128,2053,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,1.0,82550
9753,3,3009.003465282064,3009.003465282064,0.0,32078.889506,0.0,32078.889506,2058,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,1.0,1.0,0.0,0.0,1.0,0.0,84610
9754,20,2806.1275158688745,0.0,1265.250639919619,0.0,13488.7965214,29916.0355114,2059,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,54070
9755,2,1032.4715386272246,0.0,1032.4715386272246,0.0,11007.145983,11007.145983,2062,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,69080
9756,11,229.086310001474,229.086310001474,0.0,2442.2818088,0.0,2442.2818088,2078,0,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,155700
9757,0,0.0,0.0,0.0,0.0,0.0,0.0,2090,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,2.0,1.0,0.0,0.0,1.0,52820
9758,10,1948.1645362445915,1948.1645362445915,0.0,20769.319683,0.0,20769.319683,2103,0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,52550
9759,16,2262.4292679827468,1635.501241268974,626.9280267137729,17436.026316,6683.6596,24119.685916,2104,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,79530
9760,3,1210.7533024261256,0.0,0.0,0.0,0.0,12907.802153,2109,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,79080
9761,8,3203.997647194028,3203.997647194028,0.0,39581.9649398,0.0,39581.9649398,2116,0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,72950
9762,4,1847.4012458662369,1682.7258879748426,164.67535789139393,17939.486761,1755.5987127,19695.0854737,2151,0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,59620
9763,6,2384.8282107496307,2384.8282107496307,0.0,25424.577122,0.0,25424.577122,2159,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,71350
9764,8,1034.1275250331632,0.0,1034.1275250331632,0.0,11024.800401,11024.800401,2172,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,66030
9765,8,2339.1700716139662,2339.1700716139662,0.0,24937.817164,0.0,24937.817164,2177,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,46980
9766,4,889.5152056505824,874.3143334892517,15.200872161330674,9321.0370879,162.05601093,9483.09309883,2184,0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,71040
9767,12,1915.381389102024,0.0,1915.381389102024,0.0,20419.819602,20419.819602,2208,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,4490
9768,0,0.0,0.0,0.0,0.0,0.0,0.0,2250,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,94320
9769,4,1030.28009558859,0.0,1030.28009558859,0.0,10983.783079,10983.783079,2254,1,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,69880
9770,3,1664.382652828661,1664.382652828661,0.0,17743.930119,0.0,17743.930119,23,0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,75420
9771,3,1664.382652828661,1664.382652828661,0.0,17743.930119,0.0,17743.930119,2307,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,52320
