,aba,agepr,aise,ancons,depenses_combustibles_liquides,depenses_combustibles_solides,depenses_electricite,depenses_gaz_liquefie,depenses_gaz_ville,depenses_tot,dip14pr,htl,ident_men,identifiant_menage,nactifs,nbphab,nenfants,npers,ocde10,pondmen,poste_04_5_0_0,poste_04_5_5_1,poste_04_5_5_2,revtot,stalog,surfhab_d,zeat,fioul,gaz_ville,electricite,strate,rural,petite_ville,moyenne_ville,grande_ville,paris,bat_av_49,bat_49_74,bat_ap_74,log_indiv,log_colec,ouest_sud,est_nord,aides_logement,depenses_energies,part_energies_depenses_tot,part_energies_revtot,niveau_vie,niveau_vie_decile,niveau_vie_quintile,donation_class_1,donation_class_2,donation_class_3,donation_class_4
2592,1.0,45,3.0,8.0,836.2094345076248,0.0,642.1218571251396,84.04449744182797,0.0,28340.94,31.0,1.0,1330,201702592,1,6.0,3,4,2.3,348.05431715,0,0,0.0,32207.0,2,120.0,5,1,0,1,1,0,1,0,0,0,0,0,1,1,0,1,0,1,1562.3757890745926,0.055127874695567354,0.04851044149019134,14003.04347826087,2,1,2_1,2_1_1,2_1_1,2_0_0_1
2593,,46,4.0,9.0,0.0,0.0,1586.7920686782693,0.0,0.0,41013.97400794,50.0,1.0,13301,201702593,1,5.0,2,4,2.5,3284.0150238,0,0,0.0,21171.0,3,90.0,8,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1586.7920686782693,0.03868905920628608,0.07495121008352318,8468.4,1,1,1_0,1_1_0,1_0_0,1_0_0_0
2594,2.0,49,3.0,7.0,983.1110919211264,0.0,851.5784101906712,217.11495172472226,0.0,30141.660000000003,50.0,1.0,13302,201702594,3,6.0,3,4,2.5,874.53266245,0,0,0.0,16995.0,1,130.0,5,1,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,2051.8044538365198,0.06807204559524987,0.1207298884281565,6798.0,1,1,1_0,1_1_0,1_0_0,1_0_0_0
2595,2.0,71,3.0,9.0,0.0,0.0,1015.5469239540924,0.0,0.0,24621.72,50.0,1.0,13303,201702595,0,3.0,0,2,1.5,2764.8933953,0,0,0.0,42550.0,1,80.0,5,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1015.5469239540924,0.041245978102021,0.02386714274862732,28366.666666666668,8,4,8,8_1,8_0,8_0_0
2596,2.0,64,1.0,5.0,0.0,0.0,148.1005930766385,0.0,105.05562180228496,30926.039999999997,50.0,2.0,13304,201702596,0,3.0,0,1,1.0,3081.6708124,0,0,0.0,21094.0,1,55.0,9,0,1,1,3,0,0,0,1,0,0,0,1,0,1,1,0,0,253.15621487892344,0.008185859388364093,0.012001337578407293,21094.0,5,3,5,5_0,5_3,5_0_0
2597,2.0,48,4.0,2.0,0.0,0.0,1586.7920686782693,42.022248720913986,0.0,15623.5,50.0,1.0,13305,201702597,1,4.0,0,1,1.0,2553.0659137,0,0,0.0,18114.0,2,81.0,2,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1628.8143173991832,0.10425412470951984,0.0899201897647777,18114.0,4,2,4_0,4_1_0,4_0_0,4_0_1_0
2598,2.0,74,3.0,1.0,0.0,868.5029152348573,856.8677170862654,105.05562180228496,0.0,29730.511520499993,50.0,1.0,13307,201702598,0,4.0,0,2,1.5,1902.4813526,0,0,0.0,28429.0,1,80.0,5,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1830.4262541234077,0.061567264083609165,0.06438588251867486,18952.666666666668,5,3,5,5_1,5_0,5_1_0
2599,2.0,39,2.0,3.0,0.0,0.0,518.3520757682346,0.0,2622.188320185033,62038.85999999999,12.0,1.0,1331,201702599,2,7.0,3,5,2.4,1114.6189574,0,0,0.0,53436.0,2,150.0,2,0,1,1,2,0,0,1,0,0,0,1,0,1,0,0,1,0,3140.5403959532673,0.0506221486976593,0.05877199633118623,22265.0,6,3,6,6_1,6_2,6_0_1
2600,2.0,69,1.0,4.0,540.1460941819522,1202.5424980174946,629.2998119261841,142.87564565110756,394.4820087253737,35971.02203660001,44.0,1.0,13312,201702600,0,7.0,0,2,1.5,1612.7322394,0,0,0.0,68816.0,1,155.0,2,1,1,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,2909.346058502112,0.08088027233537856,0.04227717476316717,45877.333333333336,10,5,10,10_1,10_0,10_0_1
2601,2.0,47,2.0,4.0,0.0,0.0,888.6035584598309,0.0,0.0,49674.26,42.0,8.0,13315,201702601,2,4.0,2,4,2.1,2624.3970532,0,0,0.0,77659.0,2,79.0,7,0,0,1,2,0,0,1,0,0,0,1,0,0,1,1,0,0,888.6035584598309,0.01788861189798964,0.011442377038847151,36980.47619047619,9,5,9,9_0,9_2,9_0_1
